Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
2.0,73.83585,0.0,0.0,96.542915,2593.9858,0.0066811834,0.018181818,17.204689,0.0,Aug,2,2,1,8,Returning_Visitor,False,False
4.0,144.19547,0.0,0.0,9.0,153.50952,0.048022896,0.077889435,0.0,0.0,Nov,2,2,3,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0,23.639172,0.1,0.13333334,0.0,0.0,Nov,3,2,9,1,Returning_Visitor,False,False
5.0,66.49015,0.0,0.0,17.0,363.99887,0.011759827,0.031768605,0.0,0.0,Mar,1,1,2,2,Returning_Visitor,False,False
5.0,134.80061,0.0,0.0,108.47933,5625.791,0.004339686,0.021339497,20.84807,0.0,Sep,2,2,1,2,Returning_Visitor,False,True
0.0,0.0,0.0,0.0,2.0,96.02784,0.05,0.1,0.0,0.0,Dec,1,1,1,1,Returning_Visitor,False,False
2.1270618,133.72269,0.0,0.0,27.0,1232.5764,0.005996457,0.030265015,21.159525,0.0,May,2,2,2,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,5.0,191.39307,0.0,0.041445803,0.0,0.0,Nov,2,2,1,10,New_Visitor,True,False
6.0,276.74042,2.0,143.99121,46.702682,2250.3088,0.018240621,0.028317492,0.0,0.0,Sep,1,1,2,4,Returning_Visitor,False,True
1.0,6.0,0.0,0.0,50.0,1842.7087,0.005708452,0.013113563,0.0,0.0,Dec,2,2,7,2,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,8.0,69.136215,0.0,0.025,0.0,0.0,May,2,2,4,1,Returning_Visitor,False,False
7.0,234.395,1.0,48.90503,31.802326,985.0101,0.00952381,0.025785245,52.180275,0.0,Nov,1,1,4,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,19.0,717.3769,0.0078290105,0.016228737,0.0,0.8,May,3,2,1,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,3.0896645,158.44708,0.0,0.022151435,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
3.0,52.91475,0.0,0.0,17.0,267.38266,0.034029607,0.073054604,0.0,0.8,May,3,2,3,4,Returning_Visitor,False,False
2.0,52.56746,4.0,317.877,50.0,1196.7711,0.0018375419,0.012567084,0.0,0.0,Nov,2,2,6,2,New_Visitor,True,False
7.0,180.71097,0.0,0.0,182.3619,4114.278,0.0,0.012681227,0.0,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,57.190975,1822.3914,0.18390813,0.087504804,0.0,0.0,Jul,3,2,6,13,Returning_Visitor,True,False
0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,2,2,7,1,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,18.0,382.5505,0.03811951,0.028571429,26.8715,0.0,May,4,2,1,2,New_Visitor,False,True
0.0,0.0,0.0,0.0,6.0,90.17947,0.0,0.0381627,0.0,0.6,May,2,4,1,3,Returning_Visitor,False,False
0.0,0.0,0.0,0.0,60.683357,435.5432,0.0,0.005323744,0.0,1.0,May,2,10,1,1,Returning_Visitor,False,False
5.0,53.74184,0.0,0.0,33.731907,4200.7446,0.018181818,0.031722773,0.0,0.0,Nov,2,2,1,5,Returning_Visitor,False,False
3.0,170.14014,0.0,0.0,29.796194,1118.1586,0.0,0.011757593,0.0,0.0,Nov,2,2,1,2,New_Visitor,False,False
0.0,0.0,2.0,82.247025,27.952763,1927.8585,0.0,0.007721362,31.096897,0.0,Dec,2,2,9,5,New_Visitor,False,True
0.0,0.0,0.0,0.0,11.0,100.261154,0.0,0.012995196,0.0,0.0,Mar,2,2,3,1,Returning_Visitor,True,False
10.0,189.4892,0.0,0.0,36.0,998.5415,0.0,0.018660806,0.0,0.0,Nov,1,2,2,2,Returning_Visitor,True,True
0.0,0.0,0.0,0.0,3.0,72.395584,0.0,0.03333333,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
